id,creator_id,viewer_id,"timestamp",item_id,item_position,item_price,sale_price
281,305646,314316,"2018-04-01 23:52:21",158,0,0.01,0.01
282,212714,309707,"2018-04-01 23:57:09",169,0,1.00,1.00
283,122162,305415,"2018-04-02 00:09:38",162,0,5.00,5.00
284,122162,305415,"2018-04-02 00:10:09",182,0,10.00,10.00
285,314248,314331,"2018-04-02 00:36:22",185,0,20.00,20.00
286,314248,314331,"2018-04-02 00:36:28",185,0,20.00,20.00
287,314248,314331,"2018-04-02 00:36:33",182,0,10.00,10.00
288,230803,236386,"2018-04-02 00:36:44",182,0,10.00,10.00
289,230803,236386,"2018-04-02 00:36:58",178,0,2.50,2.50
290,230803,236386,"2018-04-02 00:37:06",175,0,0.71,0.71
291,230803,236386,"2018-04-02 00:37:18",153,0,0.02,0.02
292,230803,236386,"2018-04-02 00:37:22",153,0,0.02,0.02
293,142478,307262,"2018-04-02 00:46:14",156,0,0.25,0.25
294,230803,314333,"2018-04-02 00:50:21",178,0,2.50,2.50
295,230803,314333,"2018-04-02 00:50:37",164,0,0.50,0.50
296,127,255377,"2018-04-02 00:51:47",153,0,0.02,0.02
297,296509,312057,"2018-04-02 00:56:06",164,0,0.50,0.50
298,216092,314173,"2018-04-02 00:57:36",153,0,0.02,0.02
299,216092,314173,"2018-04-02 01:00:01",158,0,0.01,0.01
300,216092,314173,"2018-04-02 01:00:05",158,0,0.01,0.01
301,305469,314336,"2018-04-02 01:05:43",153,0,0.02,0.02
302,305469,314336,"2018-04-02 01:06:27",153,0,0.02,0.02
303,305469,314336,"2018-04-02 01:06:31",153,0,0.02,0.02
304,305469,314336,"2018-04-02 01:06:34",153,0,0.02,0.02
305,305469,314336,"2018-04-02 01:06:38",153,0,0.02,0.02
306,174595,314334,"2018-04-02 01:11:35",161,0,0.01,0.01
307,174595,314334,"2018-04-02 01:11:57",157,0,0.25,0.25
308,174595,314334,"2018-04-02 01:12:17",158,0,0.01,0.01
309,174595,314334,"2018-04-02 01:12:33",187,0,0.08,0.08
310,296509,312057,"2018-04-02 01:20:47",166,0,0.82,0.82
311,296509,312057,"2018-04-02 01:22:14",164,0,0.50,0.50
312,284790,314340,"2018-04-02 01:33:49",157,0,0.25,0.25
313,105107,310435,"2018-04-02 02:03:51",187,0,0.08,0.08
314,105107,310435,"2018-04-02 02:04:05",158,0,0.01,0.01
